Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
53307435.79s:	Starting main sieving!
53307750.4s: [56] 7.7%	Current number of primes found by process: 49371217	ETA: 209.2s
53307453.3s: [29] 7.7%	Current number of primes found by process: 49861616	ETA: 207.5s
53307750.4s: [48] 7.7%	Current number of primes found by process: 49501085	ETA: 208.5s
53307453.3s: [17] 7.7%	Current number of primes found by process: 50194949	ETA: 207.5s
53307750.4s: [54] 7.7%	Current number of primes found by process: 49405348	ETA: 208.9s
53307750.4s: [59] 7.7%	Current number of primes found by process: 49333775	ETA: 208.8s
53307453.3s: [0] 7.7%	Current number of primes found by process: 52287913	ETA: 209.3s
53307453.3s: [27] 7.7%	Current number of primes found by process: 49910064	ETA: 207.7s
53307453.3s: [28] 7.7%	Current number of primes found by process: 49886878	ETA: 207.9s
53307453.3s: [23] 7.7%	Current number of primes found by process: 50012074	ETA: 207.6s
53307453.3s: [16] 7.7%	Current number of primes found by process: 50225063	ETA: 207.6s
53307750.4s: [49] 7.7%	Current number of primes found by process: 49480440	ETA: 209.2s
53307750.4s: [51] 7.7%	Current number of primes found by process: 49455487	ETA: 209.5s
53307453.3s: [13] 7.7%	Current number of primes found by process: 50336955	ETA: 209.1s
53307750.4s: [53] 7.7%	Current number of primes found by process: 49424565	ETA: 209.0s
53307453.3s: [25] 7.7%	Current number of primes found by process: 49962009	ETA: 207.7s
53307453.3s: [31] 7.7%	Current number of primes found by process: 49820947	ETA: 207.7s
53307750.4s: [57] 7.7%	Current number of primes found by process: 49369283	ETA: 209.1s
53307750.4s: [62] 7.7%	Current number of primes found by process: 49298496	ETA: 209.0s
53307750.4s: [50] 7.7%	Current number of primes found by process: 49466187	ETA: 209.1s
53307750.4s: [55] 7.7%	Current number of primes found by process: 49395463	ETA: 209.0s
53307453.3s: [6] 7.7%	Current number of primes found by process: 50747267	ETA: 208.8s
53307453.3s: [4] 7.7%	Current number of primes found by process: 50939294	ETA: 209.0s
53307453.3s: [3] 7.7%	Current number of primes found by process: 51071586	ETA: 208.9s
53307453.3s: [1] 7.7%	Current number of primes found by process: 51531590	ETA: 208.8s
53307453.3s: [5] 7.7%	Current number of primes found by process: 50832468	ETA: 208.8s
53307453.3s: [12] 7.7%	Current number of primes found by process: 50389279	ETA: 209.3s
53307453.3s: [10] 9.0%	Current number of primes found by process: 58463338	ETA: 202.7s
53307453.3s: [14] 7.7%	Current number of primes found by process: 50302925	ETA: 208.9s
53307453.3s: [11] 7.7%	Current number of primes found by process: 50436624	ETA: 208.9s
53307453.3s: [7] 7.7%	Current number of primes found by process: 50671624	ETA: 208.9s
53307453.3s: [9] 7.7%	Current number of primes found by process: 50545112	ETA: 208.9s
53307453.3s: [8] 7.7%	Current number of primes found by process: 50596933	ETA: 208.9s
53307453.3s: [15] 7.7%	Current number of primes found by process: 50272217	ETA: 208.9s
53307453.3s: [2] 7.7%	Current number of primes found by process: 51251601	ETA: 208.9s
53307458.9s: [22] 10.2%	Current number of primes found by process: 65914864	ETA: 200.2s
53307756.0s: [38] 10.2%	Current number of primes found by process: 65524815	ETA: 201.3s
53307458.9s: [19] 10.2%	Current number of primes found by process: 66010387	ETA: 200.9s
53307756.0s: [44] 10.2%	Current number of primes found by process: 65417003	ETA: 201.3s
53307756.0s: [40] 10.2%	Current number of primes found by process: 65489400	ETA: 201.2s
53307459.0s: [24] 10.2%	Current number of primes found by process: 65858378	ETA: 201.0s
53307756.1s: [42] 10.2%	Current number of primes found by process: 65453603	ETA: 201.6s
53307756.1s: [36] 10.2%	Current number of primes found by process: 65570666	ETA: 201.4s
53307756.1s: [37] 10.2%	Current number of primes found by process: 65550091	ETA: 201.6s
53307756.1s: [33] 10.2%	Current number of primes found by process: 65634866	ETA: 200.7s
53307756.1s: [46] 10.2%	Current number of primes found by process: 65379560	ETA: 201.4s
53307756.1s: [47] 10.2%	Current number of primes found by process: 65350394	ETA: 201.1s
53307756.1s: [45] 10.2%	Current number of primes found by process: 65393299	ETA: 201.5s
53307756.1s: [35] 10.2%	Current number of primes found by process: 65592747	ETA: 201.7s
53307756.1s: [43] 10.2%	Current number of primes found by process: 65425235	ETA: 201.3s
53307756.1s: [41] 10.2%	Current number of primes found by process: 65473578	ETA: 201.3s
53307756.1s: [39] 10.2%	Current number of primes found by process: 65505216	ETA: 201.4s
53307756.1s: [34] 10.2%	Current number of primes found by process: 65610306	ETA: 201.4s
53307756.1s: [32] 10.2%	Current number of primes found by process: 65660050	ETA: 202.3s
53307459.0s: [26] 10.2%	Current number of primes found by process: 65801722	ETA: 200.8s
53307459.0s: [30] 10.2%	Current number of primes found by process: 65700565	ETA: 201.2s
53307459.0s: [21] 10.2%	Current number of primes found by process: 65946872	ETA: 201.1s
53307459.0s: [20] 10.2%	Current number of primes found by process: 65974722	ETA: 201.0s
53307459.0s: [29] 10.2%	Current number of primes found by process: 65729824	ETA: 201.0s
53307459.0s: [17] 10.2%	Current number of primes found by process: 66079388	ETA: 200.9s
53307459.0s: [16] 10.2%	Current number of primes found by process: 66110397	ETA: 200.6s
53307459.0s: [27] 10.2%	Current number of primes found by process: 65781291	ETA: 200.7s
53307459.0s: [23] 10.2%	Current number of primes found by process: 65885348	ETA: 200.7s
53307459.0s: [25] 10.2%	Current number of primes found by process: 65833584	ETA: 200.8s
53307459.0s: [28] 10.2%	Current number of primes found by process: 65752180	ETA: 201.0s
53307459.0s: [31] 10.2%	Current number of primes found by process: 65684475	ETA: 200.8s
53307756.1s: [61] 10.2%	Current number of primes found by process: 65133245	ETA: 202.5s
53307756.1s: [63] 10.2%	Current number of primes found by process: 65099711	ETA: 202.7s
53307459.1s: [10] 11.5%	Current number of primes found by process: 74270068	ETA: 198.1s
53307756.2s: [48] 10.2%	Current number of primes found by process: 65342859	ETA: 202.7s
53307756.2s: [58] 10.2%	Current number of primes found by process: 65174606	ETA: 203.1s
