ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
0.01s:	Starting main sieving!
86.2s: [0] 9.0%	Current number of primes found by process: 233653299	ETA: 848.9s
86.2s: [9] 9.0%	Current number of primes found by process: 231312808	ETA: 853.2s
86.8s: [4] 9.0%	Current number of primes found by process: 232009479	ETA: 942.6s
87.4s: [7] 9.6%	Current number of primes found by process: 247387019	ETA: 701.0s
89.3s: [15] 9.6%	Current number of primes found by process: 246503351	ETA: 756.9s
89.9s: [14] 9.6%	Current number of primes found by process: 246599716	ETA: 755.1s
92.3s: [11] 10.2%	Current number of primes found by process: 262693546	ETA: 862.0s
92.3s: [8] 9.6%	Current number of primes found by process: 247245799	ETA: 873.7s
92.3s: [1] 9.6%	Current number of primes found by process: 248666906	ETA: 873.2s
92.3s: [3] 9.6%	Current number of primes found by process: 248070557	ETA: 874.0s
92.3s: [12] 9.6%	Current number of primes found by process: 246802983	ETA: 873.1s
92.3s: [6] 9.6%	Current number of primes found by process: 247524609	ETA: 873.5s
92.3s: [13] 9.6%	Current number of primes found by process: 246694262	ETA: 875.2s
92.3s: [5] 9.6%	Current number of primes found by process: 247684889	ETA: 873.2s
92.4s: [2] 9.6%	Current number of primes found by process: 248314491	ETA: 874.1s
92.4s: [10] 9.6%	Current number of primes found by process: 247019702	ETA: 877.4s
92.4s: [9] 9.6%	Current number of primes found by process: 247150294	ETA: 873.4s
92.4s: [4] 9.6%	Current number of primes found by process: 247854664	ETA: 793.0s
92.4s: [7] 10.2%	Current number of primes found by process: 263184872	ETA: 701.5s
92.5s: [0] 9.6%	Current number of primes found by process: 249503152	ETA: 886.5s
95.5s: [15] 10.2%	Current number of primes found by process: 262291597	ETA: 865.9s
95.5s: [14] 10.2%	Current number of primes found by process: 262389867	ETA: 782.7s
98.2s: [11] 10.9%	Current number of primes found by process: 278448784	ETA: 829.5s
98.5s: [3] 10.2%	Current number of primes found by process: 263872911	ETA: 869.6s
98.5s: [1] 10.2%	Current number of primes found by process: 264470608	ETA: 870.4s
98.5s: [8] 10.2%	Current number of primes found by process: 263044159	ETA: 871.3s
98.5s: [12] 10.2%	Current number of primes found by process: 262595736	ETA: 870.0s
98.5s: [7] 10.9%	Current number of primes found by process: 278942549	ETA: 848.9s
98.5s: [13] 10.2%	Current number of primes found by process: 262483121	ETA: 869.1s
98.5s: [10] 10.2%	Current number of primes found by process: 262817086	ETA: 866.5s
98.6s: [5] 10.2%	Current number of primes found by process: 263486071	ETA: 870.6s
98.6s: [2] 10.2%	Current number of primes found by process: 264118413	ETA: 869.9s
98.6s: [9] 10.2%	Current number of primes found by process: 262949157	ETA: 869.5s
98.6s: [4] 10.2%	Current number of primes found by process: 263658304	ETA: 864.6s
98.6s: [0] 10.2%	Current number of primes found by process: 265310701	ETA: 866.0s
98.6s: [6] 10.2%	Current number of primes found by process: 263325833	ETA: 883.1s
101.6s: [15] 10.9%	Current number of primes found by process: 278038654	ETA: 863.2s
101.7s: [14] 10.9%	Current number of primes found by process: 278139894	ETA: 857.3s
104.7s: [7] 11.5%	Current number of primes found by process: 294665243	ETA: 853.1s
104.7s: [3] 10.9%	Current number of primes found by process: 279634900	ETA: 861.9s
104.7s: [1] 10.9%	Current number of primes found by process: 280236329	ETA: 862.1s
104.7s: [8] 10.9%	Current number of primes found by process: 278806267	ETA: 862.2s
104.7s: [12] 10.9%	Current number of primes found by process: 278350417	ETA: 861.9s
